,lfd,Ort,GID,LONG,LAT,grid_chr,grid_num,romanNr,trayNr,count,n_places,new
508,487,Roggenhausen,24528,7.46704,47.8888,w',11,III,14,6,1,24528
583,649,Rumersheim (Rumersheim-le-Haute),28110,7.51712,47.85248,w',12,III,14,12,1,28110
611,648,Blodelsheim,31944,7.53396,47.88426,w',12,III,14,12,1,31944
616,"646, 647","Fessenheim (Gutenstein), Fessenheim","23851, 23851",7.53712,47.91578,w',12,III,14,12,2,23851
683,656,Zienken (Müllheim),131030,7.57779,47.84303,w',12,III,14,12,1,131030
700,655,Grißheim (Grissheim),133674,7.59238,47.87313,w',12,III,14,12,1,133674
777,650,Buggingen,131504,7.63735,47.8479,w',12,III,14,12,1,131504
780,651,Seefelden,133681,7.63962,47.85945,w',12,III,14,12,1,133681
803,653,Eschbach (bei Heitersheim),127310,7.65221,47.8908,w',12,III,14,12,1,127310
812,725,Dattingen,131546,7.65681,47.83383,w',12,III,14,12,1,131546
824,657,Tunsel,129250,7.66581,47.90315,w',12,III,14,12,1,129250
827,652,Heitersheim,130841,7.66768,47.87108,w',12,III,14,12,1,130841
848,658,Gallenweiler,130812,7.68027,47.88527,w',13,III,14,13,1,130812
852,661,Laufen,133366,7.68471,47.8434,w',13,III,14,13,1,133366
869,659,Wettelbrunn,130866,7.69689,47.87134,w',13,III,14,13,1,130866
875,660,Ballrechten-Dottingen,131282,7.70076,47.86061,w',13,III,14,13,1,131282
884,662,Sulzburg,127565,7.70727,47.84122,w',13,III,14,13,1,127565
908,666,Grunern bei Müllheim,127909,7.72184,47.87162,w',13,III,14,13,1,127909
918,665,Staufen (bei Freiburg),130210,7.72962,47.88166,w',13,III,14,13,1,130210
944,668,Ehrenstetten,131193,7.75208,47.91557,w',13,III,14,13,1,131193
987,663,Untermünstertal-Ziegelplatz (Untermünstertal),127413,7.78649,47.85518,w',13,III,14,13,1,127413
996,664,Untermünstertal-Rotenbuck,133351,7.79435,47.84136,w',13,III,14,13,1,133351
1017,669,Obermünstertal-Krumlinden (Obermünstertal),128346,7.81186,47.87153,w',13,III,14,13,1,128346
1058,681,Obermünstertal-Spielweg,127862,7.83588,47.87776,w',13,III,14,13,1,127862
1063,678,St Ulrich,133013,7.83776,47.909,w',13,III,14,13,1,133013
1094,670,Obermünstertal-Neuhof,132141,7.86115,47.84975,w',14,III,14,9,1,132141
1110,679,Obermünstertal-Stohren,546041,7.87525,47.8938,w',14,III,14,9,1,546041
1122,671,Wieden,129656,7.8814,47.84169,w',14,III,14,9,1,129656
1144,676,Hofsgrund,130486,7.89778,47.90096,w',14,III,14,9,1,130486
1178,674,Muggenbrunn,129090,7.91725,47.857,w',14,III,14,9,1,129090
1195,672,Aftersteg (bei Todtnau),134203,7.92836,47.843,w',14,III,14,9,1,134203
1209,673,Todtnauberg,127383,7.94335,47.85074,w',14,III,14,9,1,127383
1217,675,Sankt Wilhelm,128154,7.94887,47.89511,w',14,III,14,9,1,128154
1246,680,Brandenberg,130096,7.97372,47.84091,w',14,III,14,9,1,130096
1408,2229,Bärental,130998,8.0952,47.86975,w',15,III,14,9,1,130998
1421,2228,Hinterzarten,129252,8.10487,47.90631,w',15,III,14,9,1,129252
1428,2232,Altglashütten,134107,8.11016,47.85701,w',15,III,14,9,1,134107
1439,2233,Aha,546045,8.1233,47.8356,w',15,III,14,9,1,546045
1441,2230,Falkau,546047,8.12453,47.8699,w',15,III,14,9,1,546047
1470,2231,Raitenbuch,131033,8.14698,47.86647,w',15,III,14,9,1,131033
1473,"2226, 2227","Titisee, Titisee","128468, 128468",8.14936,47.90254,w',15,III,14,9,2,128468
1483,2298,Fischbach,129500,8.16112,47.84388,w',15,III,14,9,1,129500
1501,2236,Saig,131548,8.17667,47.89199,w',16,III,14,8,1,131548
1523,2237,Lenzkirch und Kappel,129813,8.20144,47.8687,w',16,III,14,8,1,129813
1533,2235,Neustadt,131857,8.21309,47.91261,w',16,III,14,8,1,131857
1573,2184,Friedenweiler,131271,8.25483,47.91602,w',16,III,14,8,1,131271
1583,2238,Holzschlag,130895,8.26456,47.84976,w',16,III,14,8,1,130895
1604,2234,Rötenbach,133507,8.29448,47.89247,w',16,III,14,8,1,133507
1607,2239,Gündelwangen,128745,8.29672,47.84246,w',16,III,14,8,1,128745
1619,2240,Göschweiler,128520,8.31065,47.85812,w',16,III,14,8,1,128520
1,687,Sewen,32938,6.90688,47.80694,x',8,III,14,8,1,32938
2,682,Dollern (Dolleren),24847,6.93211,47.80559,x',8,III,14,8,1,24847
3,683,Oberbruck,26248,6.94324,47.80838,x',8,III,14,8,1,26248
4,684,Rimbach-Pès-Masevaux),35565,6.9473,47.82212,x',8,III,14,8,1,35565
6,685,Kirchberg-Wegscheid,27604,6.95965,47.79904,x',8,III,14,8,1,27604
9,689,Niederbruck,29293,6.97173,47.78361,x',8,III,14,8,1,29293
12,686,"Sickert, Niederbruck",35614,6.979,47.78312,x',8,III,14,8,1,35614
17,688,Masmünster (Masevaux),31069,6.99386,47.7727,x',8,III,14,8,1,31069
20,693,Aue (Lauw),31922,7.02216,47.75778,x',9,III,14,15,1,31922
23,690,Oberburbach (Bourbach-Les-Haut),27259,7.02973,47.7953,x',9,III,14,15,1,27259
34,692,Sentheim,24343,7.0544,47.75581,x',9,III,14,15,1,24343
38,691,Niederburbach (Bourbach-Le-Bas),27390,7.05868,47.77527,x',9,III,14,15,1,27390
44,702,Rammersmatt,31114,7.07084,47.78935,x',9,III,14,15,1,31114
51,698,Tann-Bitschweiler (Bitschwiller-Lès-Thann),23802,7.07947,47.82929,x',9,III,14,15,1,23802
59,694,Rodern,34665,7.0877,47.77839,x',9,III,14,15,1,34665
62,759,Gewenheim,27187,7.0913,47.75291,x',9,III,14,15,1,27187
65,695,Leimbach,27849,7.09999,47.79305,x',9,III,14,15,1,27849
70,696,Tann (Thann),26121,7.10335,47.81019,x',9,III,14,15,1,26121
82,697,Alttann (Vieux-Thann),35913,7.12206,47.80704,x',9,III,14,15,1,35913
92,699,Oberasbach (Aspach-Le-Haute),32272,7.13352,47.77692,x',9,III,14,15,1,32272
104,700,Niederasbach (Aspach-Le-Bas),25178,7.15065,47.7618,x',9,III,14,15,1,25178
107,701,Steinbach,35270,7.15487,47.82041,x',9,III,14,15,1,35270
118,769,Schweighausem (Schweighouse-Thann),23152,7.16714,47.75272,x',9,III,14,15,1,23152
128,703,Uffholz,35077,7.17804,47.81981,x',10,III,14,8,1,35077
129,704,Sennheim (Cerany),27999,7.17837,47.80918,x',10,III,14,8,1,27999
183,"705, 706","Wittelsheim, Wittelsheim","23409, 23409",7.24063,47.81047,x',10,III,14,8,2,23409
193,707,Staffelfelden,26546,7.25504,47.82648,x',10,III,14,8,1,26546
224,709,Lutterbach,25783,7.28171,47.7605,x',10,III,14,8,1,25783
301,714,Kingersheim,32992,7.33579,47.79025,x',10,III,14,8,1,32992
306,713,Wittenheim,31350,7.33993,47.81085,x',10,III,14,8,1,31350
310,"710, 711","Mülhausen, Mülhausen","522561, 522561",7.34375,47.7517,x',11,III,14,12,2,522561
316,"715, 718","Illzach, Napoleonsinsel (Ile Napoléon), Illzach","35493, 35493",7.34839,47.78217,x',11,III,14,12,2,35493
329,712,Rülisheim,28716,7.35868,47.82216,x',11,III,14,12,1,28716
334,"719, 720","Modenheim, Modenheim","35788, 35788",7.35997,47.76894,x',11,III,14,12,2,35788
353,716,Sausheim,25073,7.3698,47.78852,x',11,III,14,12,1,25073
359,717,Baldersheim,30438,7.37806,47.80152,x',11,III,14,12,1,30438
370,721,Battenheim,27813,7.38278,47.81739,x',11,III,14,12,1,27813
566,736,Homburg Kreis Mülhausen (Hombourg),27090,7.50503,47.75908,x',11,III,14,12,1,27090
567,737,Ottmarsheim,24722,7.50646,47.78661,x',11,III,14,12,1,24722
578,738,Banzenheim (Bantzenheim),35229,7.51396,47.82468,x',12,III,14,15,1,35229
624,722,Eichwald (Chalampé),35031,7.53969,47.81643,x',12,III,14,15,1,35031
644,735,Steinenstadt,127673,7.55314,47.76918,x',12,III,14,15,1,127673
654,723,Neuenburg (am Rhein),129072,7.56012,47.81393,x',12,III,14,15,1,129072
682,734,Schliengen,132886,7.57624,47.75579,x',12,III,14,15,1,132886
699,729,Auggen,134074,7.59221,47.78776,x',12,III,14,15,1,134074
706,731,Mauchen,130289,7.59411,47.76239,x',12,III,14,15,1,130289
750,724,Hügelheim,129726,7.6208,47.82868,x',12,III,14,15,1,129726
764,728,Müllheim,128189,7.62923,47.80821,x',12,III,14,15,1,128189
781,732,Feldberg,130830,7.64081,47.7737,x',12,III,14,15,1,130830
793,733,"Obereggenen, Niedereggenen",132603,7.64434,47.75677,x',12,III,14,15,1,132603
797,727,Niederweiler,133006,7.64763,47.80664,x',12,III,14,15,1,133006
802,726,Zunzingen,130471,7.65195,47.82164,x',12,III,14,15,1,130471
811,730,Lipburg,127959,7.65665,47.78685,x',12,III,14,15,1,127959
833,739,Britzingen,133439,7.67237,47.82744,x',12,III,14,15,1,133439
843,740,Badenweiler,130399,7.67934,47.80555,x',13,III,14,8,1,130399
872,741,Schweighof,133317,7.69904,47.80743,x',13,III,14,8,1,133317
915,742,Marzell bei Kandern,134157,7.72688,47.77116,x',13,III,14,8,1,134157
999,820,Raich,132917,7.79724,47.75076,x',13,III,14,8,1,132917
1045,743,Bürchau,129312,7.82686,47.77616,x',13,III,14,8,1,129312
1047,744,"Neuenweg, Landkreis Lörrach",128307,7.8271,47.79543,x',13,III,14,8,1,128307
1053,821,Elbenschwand,127686,7.83139,47.7509,x',13,III,14,8,1,127686
1067,751,Böllen,130406,7.84054,47.80226,x',13,III,14,8,1,130406
1124,752,Schönenberg,131494,7.88227,47.79265,x',14,III,14,11,1,131494
1128,758,Fröhnd,131385,7.88397,47.7603,x',14,III,14,11,1,131385
1140,753,Schönau,127723,7.89443,47.78637,x',14,III,14,11,1,127723
1141,750,Aitern,131410,7.89522,47.80317,x',14,III,14,11,1,131410
1168,749,Utzenfeld,131987,7.91301,47.80054,x',14,III,14,11,1,131987
1190,754,Tunau,132741,7.92311,47.78574,x',14,III,14,11,1,132741
1203,747,Schlechtnau,131801,7.93888,47.8175,x',14,III,14,11,1,131801
1204,748,Geschwend,130389,7.93964,47.80434,x',14,III,14,11,1,130389
1213,746,Todtnau,132647,7.94634,47.82887,x',14,III,14,11,1,132647
1225,756,Präg-Herrenschwand,127444,7.95327,47.76746,x',14,III,14,11,1,127444
1244,755,Präg,130564,7.97232,47.77964,x',14,III,14,11,1,130564
1297,842,Rütte (bei Todtmoos; es gibt auch noch eines bei Herreschrie und eines bei Todtnauberg),130234,8.01336,47.76141,x',15,III,14,6,1,130234
1301,"2293, 2294","Bernau(-Hof), Bernau(-Oberlehen)","132157, 132157",8.01571,47.82095,x',15,III,14,6,2,132157
1374,2292,Menzenschwand,131965,8.07059,47.81749,x',15,III,14,6,1,131965
1450,2296,St. Blasien,132402,8.12792,47.76144,x',15,III,14,6,1,132402
1495,2394,Häusern,133232,8.16959,47.75398,x',15,III,14,6,1,133232
1502,2295,Blasiwald (Am Schluchsee),546039,8.17706,47.7987,x',16,III,14,7,1,546039
1503,2299,Schluchsee,129658,8.17828,47.81706,x',16,III,14,7,1,129658
1532,2302,Staufen,132149,8.21221,47.75633,x',16,III,14,7,1,132149
1580,"2300, 2301","Grafenhausen, Grafenhausen","127462, 127462",8.26186,47.7749,x',16,III,14,7,2,127462
1587,2383,Mettenberg,130919,8.26708,47.75087,x',16,III,14,7,1,130919
1641,2304,Bonndorf,131039,8.34216,47.8198,x',16,III,14,7,1,131039
28,768,Morzweiler (Mortzwiller),33695,7.04125,47.73832,y',9,III,15,12,1,33695
35,760,Obersulzbach Kreis Tann (Soppe-Le-Haut),24914,7.05724,47.73372,y',9,III,15,12,1,24914
40,765,St Kosman (Saint-Cosme),35102,7.06248,47.68339,y',9,III,15,12,1,35102
41,844,Brückensweiler (Bréchaumont),23110,7.0684,47.66973,y',9,III,15,12,1,23110
46,764,Bretten Landkreis Altkirch,35072,7.0716,47.69963,y',9,III,15,12,1,35072
61,761,Niedersulzbach (soppe-Le-Bas),35825,7.09079,47.71688,y',9,III,15,12,1,35825
63,845,Niedertraubach (traubach-Le-Haute),23294,7.09169,47.66903,y',9,III,15,12,1,23294
74,767,Diefmatten Kreis Altkirch,28157,7.11319,47.70828,y',9,III,15,12,1,28157
93,766,"Gildweiler (Gildwiller), Falkweiler, Hecken",25420,7.13461,47.6894,y',9,III,15,12,1,25420
102,762,Oberburnhaupt (Burnhaupt-Le-Haut),23365,7.14988,47.72886,y',9,III,15,12,1,23365
114,763,Niederburnhaupt (Burnhaupt-Le-Bas),27882,7.16039,47.71674,y',9,III,15,12,1,27882
119,781,Balschweiler bei Altkirch,24173,7.1681,47.66772,y',9,III,15,12,1,24173
142,783,Bernweiler (Bernwiller),23627,7.19368,47.69085,y',10,III,15,15,1,23627
145,782,Enschingen (Saint-Bernard),27474,7.20293,47.67101,y',10,III,15,15,1,27474
159,778,Ober- und Niederspechbach (Spechbach-Le-Haut),34253,7.2159,47.68086,y',10,III,15,15,1,34253
167,780,Galfingen (Galfingue),34123,7.22481,47.70563,y',10,III,15,15,1,34123
168,784,Heimsbrunn,23775,7.22696,47.72682,y',10,III,15,15,1,23775
171,770,Reinigen,29136,7.2319,47.74911,y',10,III,15,15,1,29136
203,"776, 777","Illfurt (Illfurth), Illfurt (Illfurth)","29095, 29095",7.26494,47.67073,y',10,III,15,15,2,29095
205,771,Niedermorschweiler (Morschwiller-Le-Bas),29943,7.26699,47.73596,y',10,III,15,15,1,29943
206,779,Frönigen,30116,7.26801,47.69023,y',10,III,15,15,1,30116
219,773,Hochstatt,30036,7.28072,47.70069,y',10,III,15,15,1,30036
242,774,Zillisheim,29641,7.29485,47.69387,y',10,III,15,15,1,29641
259,772,Didenheim,35551,7.30295,47.71749,y',10,III,15,15,1,35551
269,775,Flachslanden (Flaxlanden),28408,7.30924,47.69692,y',10,III,15,15,1,28408
277,785,Brunnstatt (Brunstatt),23934,7.31747,47.72106,y',10,III,15,15,1,23934
333,790,Brubach Landkreis Mülhausen,27563,7.35964,47.70073,y',11,III,15,15,1,27563
348,794,Niedersteinbrunn (Steinbrunn-Le-Bas),26719,7.36609,47.67219,y',11,III,15,15,1,26719
351,795,Mülhausen-Riedisheim,31572,7.36836,47.74966,y',11,III,15,15,1,31572
380,789,Zimmersheim,23126,7.38892,47.72013,y',11,III,15,15,1,23126
391,793,Landser,33844,7.39601,47.68637,y',11,III,15,15,1,33844
392,"786, 787","Rixheim, Napoleoninsel Rixheim","26570, 26570",7.39739,47.74412,y',11,III,15,15,2,26570
395,796,Eschenzweiler (Eschentzwiller),32750,7.39812,47.71239,y',11,III,15,15,1,32750
401,791,Dietenweiler (Dietwiller),31129,7.40296,47.69288,y',11,III,15,15,1,31129
406,792,Schlierbach,27573,7.4066,47.68284,y',11,III,15,15,1,27573
420,788,Habsheim,30489,7.41666,47.72864,y',11,III,15,15,1,30489
430,562,Geispitzen,35084,7.42236,47.66739,y',11,III,15,15,1,35084
562,"806, 807, 808","Kembs-Neuweg, Kembs, Kembs","29868, 29868, 29868",7.50399,47.6877,y',11,III,15,15,3,29868
572,809,Niffer,31300,7.50904,47.71353,y',12,III,15,19,1,31300
589,797,Kleinlandau (Petit-Landau),23504,7.52082,47.73028,y',12,III,15,19,1,23504
593,817,Kleinkems,127620,7.52279,47.691,y',12,III,15,19,1,127620
610,805,Rheinweiler,134113,7.53324,47.71013,y',12,III,15,19,1,134113
626,810,Blansingen,127514,7.54141,47.69158,y',12,III,15,19,1,127514
637,804,Bamlach,132536,7.54942,47.71753,y',12,III,15,19,1,132536
638,816,Huttingen,130049,7.5497,47.67294,y',12,III,15,19,1,130049
649,798,Bellingen (Bad Bellingen),127624,7.55728,47.7319,y',12,III,15,19,1,127624
657,811,Welmlingen,130627,7.56233,47.68899,y',12,III,15,19,1,130627
669,815,Wintersweiler,129729,7.56756,47.67374,y',12,III,15,19,1,129729
691,803,Hertingen,128590,7.58442,47.7231,y',12,III,15,19,1,128590
715,812,Mappach,133039,7.59794,47.68033,y',12,III,15,19,1,133039
722,799,Liel,131259,7.604,47.73928,y',12,III,15,19,1,131259
734,802,Tannenkirch,130419,7.6103,47.71116,y',12,III,15,19,1,130419
762,813,Holzen,128627,7.62775,47.69538,y',12,III,15,19,1,128627
774,801,Riedlingen,133084,7.63561,47.71579,y',12,III,15,19,1,133084
783,800,Feuerbach,134012,7.642,47.73653,y',12,III,15,19,1,134012
806,587,Wollbach,129830,7.65387,47.67054,y',12,III,15,19,1,129830
819,814,Kandern,130340,7.66224,47.71456,y',12,III,15,19,1,130340
885,"745, 818","Malsburg, Malsburg","132763, 132763",7.70866,47.73257,y',13,III,15,12,2,132763
920,825,Endenburg,132787,7.73306,47.71161,y',13,III,15,12,1,132787
927,828,Schlächtenhaus-Hofen,130808,7.73863,47.69047,y',13,III,15,12,1,130808
961,826,Weitenau,127421,7.76525,47.67775,y',13,III,15,12,1,127421
962,819,Wies,127559,7.76723,47.74789,y',13,III,15,12,1,127559
969,824,Sallneck,130082,7.7724,47.72297,y',13,III,15,12,1,130082
997,823,Tegernau,128971,7.79638,47.72037,y',13,III,15,12,1,128971
1000,827,Wieslet,133005,7.79819,47.6893,y',13,III,15,12,1,133005
1036,822,Gresgen,127633,7.82053,47.71127,y',13,III,15,12,1,127633
1061,836,Adelsberg,131783,7.83666,47.71725,y',13,III,15,12,1,131783
1068,840,Hausen im Wiesental,133374,7.84055,47.68143,y',13,III,15,12,1,133374
1079,837,Zell im Wiesental,127334,7.85301,47.70753,y',14,III,15,16,1,127334
1093,841,Raitbach,129590,7.86089,47.68233,y',14,III,15,16,1,129590
1101,829,Pfaffenberg,133153,7.86972,47.73452,y',14,III,15,16,1,133153
1107,834,Atzenbach,131927,7.8735,47.71532,y',14,III,15,16,1,131927
1127,833,Mambach,128808,7.88363,47.72839,y',14,III,15,16,1,128808
1136,838,Riedichen,130514,7.88873,47.70465,y',14,III,15,16,1,130514
1154,835,Häg-Rohrberg,133785,7.90412,47.7181,y',14,III,15,16,1,133785
1159,830,Ehrsberg,131471,7.90629,47.74318,y',14,III,15,16,1,131471
1175,831,Häg (bei Mambach),128455,7.91432,47.73207,y',14,III,15,16,1,128455
1199,839,Gersbach,132933,7.93271,47.69725,y',14,III,15,16,1,132933
1221,832,Happach,130377,7.95137,47.7412,y',14,III,15,16,1,130377
1280,"757, 2364, 2365, 843, 2297","Todtmoos, Todtmoos, Todtmoos, Todtmoos, Todtmoos (-Rütte)","127921, 127921, 127921, 127921, 127921",8.00438,47.74133,y',14,III,15,16,5,127921
1294,2367,Grossherrischwand,127548,8.01017,47.6797,y',15,III,15,17,1,127548
1295,2366,Wehrhalden,128607,8.01061,47.70213,y',15,III,15,17,1,128607
1369,2369,Hartschwand,131386,8.0655,47.67119,y',15,III,15,17,1,131386
1375,2363,Ibach,134161,8.07077,47.73259,y',15,III,15,17,1,134161
1384,2378,Fröhnd,130337,8.07717,47.70011,y',15,III,15,17,1,130337
1401,2370,Hierbach - Wilfingen,132753,8.09123,47.686,y',15,III,15,17,1,132753
1414,2362,Wittenschwand,131614,8.10083,47.72846,y',15,III,15,17,1,131614
1423,2371,Wolpadingen,131637,8.10774,47.69861,y',15,III,15,17,1,131637
1440,2361,Urberg,130132,8.12409,47.73478,y',15,III,15,17,1,130132
1442,2377,Schlageten,129971,8.12512,47.71178,y',15,III,15,17,1,129971
1443,2372,Immeneich,133624,8.12543,47.69719,y',15,III,15,17,1,133624
1467,2376,Tiefenhäusern,127876,8.14547,47.70277,y',15,III,15,17,1,127876
1468,2373,Remetschwiel/Brunnadern,129585,8.14553,47.68929,y',15,III,15,17,1,129585
1488,2380,Höchenschwand,133812,8.16491,47.73427,y',15,III,15,17,1,133812
1491,2379,Attlisberg,129082,8.16607,47.72173,y',15,III,15,17,1,129082
1492,"2374, 2375","Remetschwiel und Bannholz, Bannholz","128820, 128820",8.167,47.67614,y',15,III,15,17,2,128820
1510,2381,Amrigschwand,131835,8.1855,47.71974,y',16,III,15,12,1,131835
1511,2393,Bierbronnen,132344,8.18848,47.6749,y',16,III,15,12,1,132344
1535,2392,Nöggenschwiel,130885,8.21364,47.69246,y',16,III,15,12,1,130885
1544,2382,Brenden,131279,8.22606,47.72946,y',16,III,15,12,1,131279
1561,2391,Dietlingen,133853,8.24371,47.67342,y',16,III,15,12,1,133853
1576,2389,Berau,132495,8.25823,47.69472,y',16,III,15,12,1,132495
1582,2390,Aichen,129635,8.26226,47.67494,y',16,III,15,12,1,129635
1598,2385,Hürrlingen,128339,8.28505,47.72465,y',16,III,15,12,1,128339
1602,2386,Riedern im Wald,129604,8.29113,47.71786,y',16,III,15,12,1,129604
1609,2388,Krenkingen,130111,8.30454,47.68312,y',16,III,15,12,1,130111
1620,2384,Birkendorf,131347,8.3126,47.74971,y',16,III,15,12,1,131347
1625,2387,Uhlingen,132377,8.31845,47.7201,y',16,III,15,12,1,132377
22,853,Schaffnatt am Weier (Chavannes-Sur-L'Étang),32026,7.02504,47.63178,z',9,III,16,14,1,32026
33,859,Menglatt (Magny),25581,7.05408,47.6019,z',9,III,16,14,1,25581
37,852,"Gottestal, Luttern (Valdieu-Lutran)",35491,7.05852,47.63139,z',9,III,16,14,1,35491
64,851,Retzweiler,28179,7.09315,47.63072,z',9,III,16,14,1,28179
71,854,Mansbach (Manspach),23894,7.10508,47.6176,z',9,III,16,14,1,23894
75,850,Wolfersdorf,36513,7.1132,47.63625,z',9,III,16,14,1,36513
77,855,Altenach,26163,7.11466,47.60658,z',9,III,16,14,1,26163
80,856,St. Ulrich bei Dammerkirch,24452,7.11911,47.59537,z',9,III,16,14,1,24452
81,849,Dammerkirch (Dannemarie),32569,7.1214,47.63024,z',9,III,16,14,1,32569
91,848,Gommersdorf,23404,7.13318,47.64299,z',9,III,16,14,1,23404
99,857,Füllern (Fulleren),23617,7.14596,47.59468,z',9,III,16,14,1,23617
101,846,Büttweiler (Buethwiller),33659,7.14982,47.65627,z',9,III,16,14,1,33659
109,847,Hagenbach,35255,7.15712,47.65028,z',9,III,16,14,1,35255
116,858,Ballersdorf,25662,7.1624,47.625,z',9,III,16,14,1,25662
156,552,Karspach (Carspach),33528,7.21307,47.61448,z',10,III,16,16,1,33528
163,559,Hirzbach (Hirtzbach),28193,7.22017,47.59449,z',10,III,16,16,1,28193
173,551,Aspach,32191,7.23354,47.6401,z',10,III,16,16,1,32191
180,547,Heidweiler (Heidwiller),23187,7.23995,47.6597,z',10,III,16,16,1,23187
181,"553, 554","Altkirch, Altkirch","35863, 35863",7.24009,47.62592,z',10,III,16,16,2,35863
192,560,Hisingen (Hirsingue),23715,7.25483,47.58601,z',10,III,16,16,1,23715
202,550,Walheim,29210,7.26432,47.63975,z',10,III,16,16,1,29210
214,492,Bettendorf,34912,7.27676,47.58379,z',10,III,16,16,1,34912
215,555,Wittersdorf,30905,7.27817,47.62015,z',10,III,16,16,1,30905
233,548,Lümschweiler (Luemschwiller) und Tagolsheim,35649,7.28747,47.65547,z',10,III,16,16,1,35649
240,556,Emlingen,32632,7.29244,47.62397,z',10,III,16,16,1,32632
257,557,Tagsdorf,24821,7.30232,47.62138,z',10,III,16,16,1,24821
271,549,Obermorschweiler (Obermorschwiller),29375,7.31001,47.64239,z',10,III,16,16,1,29375
280,493,Weiler (Kreis Altkirch),35120,7.31925,47.5857,z',10,III,16,16,1,35120
284,558,Hausgauen,24463,7.32318,47.60479,z',10,III,16,16,1,24463
314,561,Obersteinbrunn (Steinbrunn-le-Haut),23803,7.3467,47.65852,z',11,III,16,24,1,23803
318,566,Wahlbach,29072,7.34876,47.63135,z',11,III,16,24,1,29072
323,570,Franken,31123,7.35483,47.59947,z',11,III,16,24,1,31123
350,580,Zässingen (Zaessingue),32344,7.3676,47.62375,z',11,III,16,24,1,32344
352,571,Jettingen,34102,7.36877,47.59592,z',11,III,16,24,1,34102
356,577,Rantsweiler (Rantzwiller),24170,7.37595,47.65241,z',11,III,16,24,1,24170
373,528,Berenzweiler (Berentzwiller),32232,7.3832,47.5856,z',11,III,16,24,1,32232
384,"578, 579","Kötzingen (Kœtzingue), Kötzingen (Kœtzingue)","29299, 29299",7.394,47.65091,z',11,III,16,24,2,29299
411,567,Niedermagstatt (Magstatt-le-Bas),24552,7.41155,47.6393,z',11,III,16,24,1,24552
421,572,Helfrantskirch (Helfrantzkirch),25605,7.41694,47.6072,z',11,III,16,24,1,25605
435,563,Waltenheim,35877,7.42684,47.65714,z',11,III,16,24,1,35877
438,568,Stetten,36253,7.42942,47.6261,z',11,III,16,24,1,36253
456,575,Kappeln (Kappelen),32554,7.44156,47.61975,z',11,III,16,24,1,32554
459,564,Uffheim,30358,7.44285,47.65062,z',11,III,16,24,1,30358
466,529,Niederranspach (Ranspach-le-Bas),33696,7.44726,47.58851,z',11,III,16,24,1,33696
487,565,Sierenz (Sierentz),31726,7.45597,47.6532,z',11,III,16,24,1,31726
492,576,Brinkheim (Brinckheim),32622,7.45901,47.62634,z',11,III,16,24,1,32622
498,"573, 574","Niedermichelbach (Michelbach-le-Bas), Niedermichelbach (Michelbach-le-Bas)","30142, 30142",7.46442,47.59288,z',11,III,16,24,2,30142
519,569,Bartenheim,31580,7.47707,47.63392,z',11,III,16,24,1,31580
551,"594, 595, 596","Boltzheim (Blotzheim), Boltzheim (Blotzheim), Boltzheim (Blotzheim)","30526, 30526, 30526",7.49611,47.60128,z',11,III,16,24,3,30526
602,593,Neuweg-Bartenheim,171806,7.52868,47.62399,z',12,III,16,21,1,171806
613,592,Rosenau,31423,7.53493,47.63685,z',12,III,16,21,1,31423
615,581,Istein,130764,7.53541,47.66186,z',12,III,16,21,1,130764
658,543,Sankt Ludwig (Saint-Louis),35194,7.56351,47.58575,z',12,III,16,21,1,35194
662,"582, 583","Efringen (Efringen-Kirchen), Kirchen (Efringen-Kirchen)","130715, 130715",7.56471,47.64989,z',12,III,16,21,2,130715
674,597,Neudorf (Village-Neuf),23125,7.57149,47.60532,z',12,III,16,21,1,23125
688,591,Märkt,127650,7.58103,47.627,z',12,III,16,21,1,127650
689,598,Hüningen (Huningue),25299,7.58374,47.5912,z',12,III,16,21,1,25299
709,590,(Weil am Rhein und) Eimeldingen,129901,7.59518,47.63113,z',12,III,16,21,1,129901
712,584,Egringen und Fischingen,132066,7.59628,47.66366,z',12,III,16,21,1,132066
737,603,Haltingen,133014,7.61378,47.61384,z',12,III,16,21,1,133014
751,604,Ötlingen,132626,7.62133,47.62261,z',12,III,16,21,1,132626
753,589,Binzen,130465,7.62403,47.63133,z',12,III,16,21,1,130465
761,585,Schallbach,130648,7.62759,47.65706,z',12,III,16,21,1,130648
770,599,Weil am Rhein,130209,7.63299,47.59278,z',12,III,16,21,1,130209
782,588,Rümmingen,127561,7.64143,47.64099,z',12,III,16,21,1,127561
798,586,Wittlingen,131351,7.64842,47.6562,z',12,III,16,21,1,131351
809,602,Tumringen,130758,7.65564,47.62739,z',12,III,16,21,1,130758
822,"600, 601","Lörrach, Lörrach","131694, 131694",7.66409,47.61258,z',12,III,16,21,2,131694
842,608,Haagen,131283,7.67898,47.63703,z',13,III,16,19,1,131283
857,620,Inzlingen,132722,7.68772,47.58811,z',13,III,16,19,1,132722
864,610,"Brombach (/Maulburg, aber gestrichen)",133078,7.69236,47.63395,z',13,III,16,19,1,133078
868,609,Hauingen,132825,7.69375,47.64287,z',13,III,16,19,1,132825
916,605,Hägelberg,132810,7.72778,47.66132,z',13,III,16,19,1,132810
928,611,Steinen,131433,7.73911,47.64447,z',13,III,16,19,1,131433
930,613,Hüsingen,133407,7.74114,47.63121,z',13,III,16,19,1,133407
