"","Bearbeiter/in","Bogennummer_alph","Bogennummer_num","Bogennummer_ind","Digi_Index","Ort","Ort_Zusatz","Kreis","Provinz","tray"
"630","FS","x'",25,"8","XXI_03_0110","Wolfegg","999","Ravensburg Oberschwaben","Gau Württemberg","III_36"
"631","FS","x'",30,"8","XXI_03_0111","Oberthingau","999","Markt Oberdorf","999","III_54"
"632","FS","x'",31,"7","XXI_03_0112","Burggen","999","Schongau","Obb.","III_54"
"633","FS","x'",33,"5","XXI_03_0113","Huglfing","999","Weilheim","Oberbayern","III_54"
"634","FS","x'",35,"5","XXI_03_0114","Oberbuchen","999","Tölz","Oberbayern","III_54"
"635","FS","x'",38,"1","XXI_03_0115","Parsberg","999","Miesbach","Oberbayern","III_54"
"636","FS","x'",41,"1","XXI_03_0116","Marquartstein","Obb.","Traunstein","Oberbayern","III_54"
"637","FS","y'",39,"3","XXI_03_0117","Nußdorf","a. Inn","Rosenheim","Oberbayern","III_55"
"638","FS","y'",44,"1","XXI_03_0118","Karlstein","999","Berchtesgaden","Obb.","VI_9"
"639","FS","z'",24,"1","XXI_03_0119","Langenargen ","a/Bodensee","Friedrichshafen","Württemberg","III_38"
"640","FS","z'",25,"10","XXI_03_0120","Niederstaufen {auf seite 1 Ndr. Staufen}","über Lindau Bodensee","Lindau","Schwaben","III_38"
"641","FS","z'",29,"1","XXI_03_0121","Sulzberg","999","Kempten Land Allgäu","Gau Schwaben","III_55"
"642","FS","z'",30,"2","XXI_03_0122","Seeg","999","Marktoberdorf [F]üssen","Schwaben","III_55"
"643","FS","z'",34,"3","XXI_03_0123","Eschenlohe {auf seite 4 leer}","999","Garmisch {auf seite 4 leer}","999","III_55"
"644","FS","z'",44,"1","XXI_03_0124","Ramsau","[by] Berchtesg.","Berchtesgaden","Bayern Oberbayern","VI_9"
"645","FS","a''",28,"10","XXI_03_0125","Sonthofen","999","Sonthofen","Gau Schwaben","III_38"
"646","FS","a''",36,"1","XXI_03_0126","Fall","999","Tölz","Oberbayern","III_56"
"647","FS","b''",28,"10","XXI_03_0127","Langenwang","999","Sonthofen","Bayern","III_39"
"648","FS","m'",55,"5","Mappe_02_0001","Göllitz","999","Raplitz Oberdonau","Gratzen Oberdonau","VI_3"
"649","FS","m'",55,"6","Mappe_02_0002","Wultschau","999","Gmünd","N. D.","VI_3"
"650","FS","m'",55,"7","Mappe_02_0003","Maissen {Auf seite 4 Maißen}","am Nebelstein","Gmünd","Niederdonau","VI_3"
"651","FS","m'",55,"8","Mappe_02_0004","Harbach","999","Gmünd","Niederdonau","VI_3"
"652","FS","m'",55,"9","Mappe_02_0005","Hirschwies","bei Weitra","Gmünd","Niederdonau","VI_3"
"653","FS","999",999,"999","Mappe_04_0036","Wallendorf","999","Unterzips","999","999"
"654","FS","999",999,"999","Mappe_04_0037","Wagendrüssel","999","Göllnitz","Unterzips","999"
"655","FS","999",999,"999","Mappe_04_0038","Göllnitz","999","Göllnitz","Land: Slovensko","999"
"656","FS","999",999,"999","Mappe_04_0039","Dobschau","999","Neusohl Banska´ B[y??}rica","–","999"
"657","FS","999",999,"999","Mappe_04_0040","Schwedler","999","Unterzips, Slowack[?]i","Göllnitzdal","999"
"658","FS","999",999,"999","Mappe_04_0041","Einsiedel","a/Göllnitz","Unterzips","Slowakei","999"
"659","FS","999",999,"999","Mappe_04_0042","Altwasser","Post Schwedler, Unterzips, Slowakei","Bezirk Gölllnitz","999","999"
"660","FS","999",999,"999","Mappe_04_0043","Schmöllmitz","Schmelenz","Unterzips","Slowakei","999"
"661","FS","999",999,"999","Mappe_04_0044","Stoss {auf seite 1 Stoß}","999","Unterzips","Slowakei","999"
"662","FS","999",999,"999","Mappe_04_0045","Metzenseifen {auf Seite 4 Ober-Metzenseifen}","999","Göllnitz","Slowakei","999"
"663","FS","999",999,"999","Mappe_04_0046","Untermetzenseifen","999","d[r] deutschen P[artei] VII Pol. Bezirk Göllnitz","Unterzips","999"
"664","FS","999",999,"999","Mappe_04_0047","Michalok","deutsche Kolonie","Vranow [n]. t.","999","999"
"665","FS","999",999,"999","Mappe_04_0048","Münnichweis","999","deutsch Proben","Mittelslowakei","999"
"666","FS","999",999,"999","Mappe_04_0049","Bies","999","T[??]c<U+030C> Sv. Martin","Land: Slowakei","999"
"667","JR","v'",16,"3","Schutte_00_0001","Titisee-Jostal","999","Neustadt/Schwarzwald","Baden","III_13"
"668","JR","f'",15,"6","Schutte_00_0002","Griesbach","Vorder-","[?]ingen","999","III_2"
"669","JR","q'",17,"6","Schutte_00_0003","24 Höfe","999","Freudenstadt","Württemberg","III_29"
"670","JR","Y'",24,"5","Schutte_00_0004","Kreuzwertheim","999","Marktheidenfeld","Mainfranken","II_88"
"671","JR","v'",22,"1","Schutte_00_0005","Hippetsweiler","999","Sigmaringen","Sigmaringen","III_34"
"672","JR","u'",24,"1","Schutte_00_0006","Kanzach","999","Saulgau","Württemberg","III_33"
"673","JR","u'",22,"10","Schutte_00_0007","Mengen","999","Saulgau","Württemberg","III_33"
"674","JR","t'",20,"9","Schutte_00_0008","Königsheim","999","Tuttlingen","Württemberg","III_32"
"675","JR","s'",17,"9","Schutte_00_0009","Seedorf","999","Rottweil","Schwarzwaldvorebene","III_31"
"676","JR","a'",18,"5","Schutte_00_0010","Heppenheim","999","Bergstrasse","Starkenburg","II_57"
"677","JR","l'",22,"1","Schutte_00_0011","Duttenberg","999","Heilbronn","Württemberg","III_24"
